date,maximum temperature (degC),site number,site name
,,86338,MELBOURNE (OLYMPIC PARK)
1/1/09,19.3,,
2/1/09,17.5,,
3/1/09,19.3,,
4/1/09,27.2,,
5/1/09,24.9,,
6/1/09,29,,
7/1/09,19.8,,
8/1/09,18.7,,
9/1/09,20.2,,
10/1/09,21.7,,
11/1/09,21.7,,
12/1/09,23.7,,
13/1/09,37.3,,
14/1/09,32.1,,
15/1/09,23.2,,
16/1/09,20.1,,
17/1/09,19,,
18/1/09,23.8,,
19/1/09,35.5,,
20/1/09,40.3,,
21/1/09,27.9,,
22/1/09,35.3,,
23/1/09,31,,
24/1/09,21.7,,
25/1/09,26.8,,
26/1/09,24.3,,
27/1/09,35.9,,
28/1/09,43.2,,
29/1/09,44.1,,
30/1/09,44.9,,
31/1/09,29.4,,
1/2/09,33.5,,
2/2/09,27.5,,
3/2/09,28.5,,
4/2/09,28.5,,
5/2/09,27.7,,
6/2/09,32.7,,
7/2/09,45.9,,
8/2/09,20.9,,
9/2/09,20,,
10/2/09,19.8,,
11/2/09,18.8,,
12/2/09,21.7,,
13/2/09,27.3,,
14/2/09,27.4,,
15/2/09,28,,
16/2/09,28.4,,
17/2/09,31.3,,
18/2/09,27.1,,
19/2/09,29.1,,
20/2/09,22.7,,
21/2/09,21.8,,
22/2/09,23.9,,
23/2/09,34.6,,
24/2/09,19.9,,
25/2/09,20.2,,
26/2/09,30.5,,
27/2/09,33.7,,
28/2/09,21.4,,
1/3/09,18.4,,
2/3/09,24.4,,
3/3/09,32.2,,
4/3/09,17.6,,
5/3/09,16.2,,
6/3/09,18.7,,
7/3/09,19,,
8/3/09,19.7,,
9/3/09,23.9,,
10/3/09,25.4,,
11/3/09,29.4,,
12/3/09,23.9,,
13/3/09,28.4,,
14/3/09,22,,
15/3/09,17.5,,
16/3/09,20.3,,
17/3/09,18.7,,
18/3/09,27.7,,
19/3/09,32.6,,
20/3/09,22.6,,
21/3/09,33.7,,
22/3/09,24.4,,
23/3/09,18.5,,
24/3/09,19.7,,
25/3/09,22.7,,
26/3/09,22.8,,
27/3/09,19.1,,
28/3/09,25.9,,
29/3/09,23.4,,
30/3/09,20.9,,
31/3/09,29.8,,
1/4/09,30.1,,
2/4/09,33.1,,
3/4/09,24.3,,
4/4/09,18.8,,
5/4/09,19.4,,
6/4/09,16.6,,
7/4/09,17.5,,
8/4/09,19.2,,
9/4/09,24,,
10/4/09,18.6,,
11/4/09,21.7,,
12/4/09,21.4,,
13/4/09,25.9,,
14/4/09,29.1,,
15/4/09,17.2,,
16/4/09,19.9,,
17/4/09,21.3,,
18/4/09,18.3,,
19/4/09,17.9,,
20/4/09,21.3,,
21/4/09,24.2,,
22/4/09,24.7,,
23/4/09,22,,
24/4/09,17.4,,
25/4/09,17.8,,
26/4/09,12.9,,
27/4/09,13.7,,
28/4/09,13.7,,
29/4/09,13.1,,
30/4/09,17.4,,
1/5/09,14.6,,
2/5/09,18,,
3/5/09,19,,
4/5/09,16.4,,
5/5/09,16.6,,
6/5/09,16.5,,
7/5/09,16.9,,
8/5/09,16.5,,
9/5/09,16.3,,
10/5/09,17.6,,
11/5/09,17.1,,
12/5/09,16.9,,
13/5/09,16.5,,
14/5/09,16.5,,
15/5/09,19.4,,
16/5/09,16.2,,
17/5/09,16.8,,
18/5/09,17.3,,
19/5/09,21.1,,
20/5/09,21.2,,
21/5/09,15.5,,
22/5/09,20.4,,
23/5/09,23.2,,
24/5/09,20.8,,
25/5/09,21.8,,
26/5/09,17.9,,
27/5/09,15.6,,
28/5/09,16.2,,
29/5/09,16.1,,
30/5/09,15.9,,
31/5/09,14.6,,
1/6/09,14.1,,
2/6/09,14.5,,
3/6/09,18.3,,
4/6/09,17.5,,
5/6/09,17.8,,
6/6/09,13.8,,
7/6/09,14,,
8/6/09,13.8,,
9/6/09,12.3,,
10/6/09,12.5,,
11/6/09,12,,
12/6/09,10.3,,
13/6/09,12.7,,
14/6/09,15.8,,
15/6/09,15.1,,
16/6/09,13.9,,
17/6/09,13.2,,
18/6/09,17.6,,
19/6/09,18.4,,
20/6/09,14.8,,
21/6/09,15.6,,
22/6/09,17.6,,
23/6/09,16.5,,
24/6/09,17.6,,
25/6/09,14.3,,
26/6/09,16.1,,
27/6/09,14.2,,
28/6/09,15.6,,
29/6/09,17.8,,
30/6/09,19.3,,
1/7/09,15.5,,
2/7/09,13.3,,
3/7/09,13.1,,
4/7/09,14.8,,
5/7/09,12.9,,
6/7/09,13.5,,
7/7/09,13.7,,
8/7/09,14.7,,
9/7/09,16.8,,
10/7/09,14.8,,
11/7/09,13.8,,
12/7/09,15.6,,
13/7/09,15.5,,
14/7/09,13.6,,
15/7/09,13.4,,
16/7/09,14.3,,
17/7/09,14.7,,
18/7/09,13.4,,
19/7/09,15.4,,
20/7/09,18.7,,
21/7/09,19.3,,
22/7/09,16.7,,
23/7/09,14,,
24/7/09,13.1,,
25/7/09,13.4,,
26/7/09,15.6,,
27/7/09,16.3,,
28/7/09,14.8,,
29/7/09,16.3,,
30/7/09,16.1,,
31/7/09,16.2,,
1/8/09,16.1,,
2/8/09,16.5,,
3/8/09,14.7,,
4/8/09,14.5,,
5/8/09,16.1,,
6/8/09,18.7,,
7/8/09,14.1,,
8/8/09,15.8,,
9/8/09,14.1,,
10/8/09,12.9,,
11/8/09,15.4,,
12/8/09,14,,
13/8/09,18,,
14/8/09,18.7,,
15/8/09,19,,
16/8/09,16.8,,
17/8/09,16.5,,
18/8/09,16.3,,
19/8/09,18.1,,
20/8/09,17.7,,
21/8/09,18.3,,
22/8/09,15.5,,
23/8/09,18.6,,
24/8/09,17.2,,
25/8/09,14.3,,
26/8/09,14.9,,
27/8/09,18.3,,
28/8/09,19.5,,
29/8/09,14.8,,
30/8/09,15.3,,
31/8/09,16.1,,
1/9/09,15,,
2/9/09,19.1,,
3/9/09,21.6,,
4/9/09,16.6,,
5/9/09,16.5,,
6/9/09,15.9,,
7/9/09,14.9,,
8/9/09,14.2,,
9/9/09,13.5,,
10/9/09,13.8,,
11/9/09,22.4,,
12/9/09,29.8,,
13/9/09,19.2,,
14/9/09,16.1,,
15/9/09,19.7,,
16/9/09,22.9,,
17/9/09,18.3,,
18/9/09,17.8,,
19/9/09,20.1,,
20/9/09,18.1,,
21/9/09,19.1,,
22/9/09,18.3,,
23/9/09,17.6,,
24/9/09,20,,
25/9/09,15.3,,
26/9/09,13.3,,
27/9/09,11.8,,
28/9/09,13.8,,
29/9/09,18.7,,
30/9/09,23.6,,
1/10/09,15.3,,
2/10/09,13.5,,
3/10/09,16.7,,
4/10/09,17.3,,
5/10/09,15.8,,
6/10/09,14.5,,
7/10/09,15,,
8/10/09,14.8,,
9/10/09,16.9,,
10/10/09,19,,
11/10/09,21.4,,
12/10/09,21.9,,
13/10/09,18,,
14/10/09,15.2,,
15/10/09,15.1,,
16/10/09,16.7,,
17/10/09,15.7,,
18/10/09,15.2,,
19/10/09,20.5,,
20/10/09,28,,
21/10/09,17.3,,
22/10/09,17.4,,
23/10/09,17.4,,
24/10/09,18.6,,
25/10/09,16.9,,
26/10/09,20.1,,
27/10/09,20.7,,
28/10/09,20,,
29/10/09,30.1,,
30/10/09,26.1,,
31/10/09,32.6,,
1/11/09,18.6,,
2/11/09,29.1,,
3/11/09,20.8,,
4/11/09,16.7,,
5/11/09,17.7,,
6/11/09,24.3,,
7/11/09,31.5,,
8/11/09,33.4,,
9/11/09,34.7,,
10/11/09,35.5,,
11/11/09,33.6,,
12/11/09,29.4,,
13/11/09,26.3,,
14/11/09,29.7,,
15/11/09,24.7,,
16/11/09,21.9,,
17/11/09,21.8,,
18/11/09,32.6,,
19/11/09,33.8,,
20/11/09,37.5,,
21/11/09,24.8,,
22/11/09,16.9,,
23/11/09,21.1,,
24/11/09,25.6,,
25/11/09,24.3,,
26/11/09,29.5,,
27/11/09,28.6,,
28/11/09,21.9,,
29/11/09,20.8,,
30/11/09,19.5,,
1/12/09,21.2,,
2/12/09,28.7,,
3/12/09,31.6,,
4/12/09,20.8,,
5/12/09,20.4,,
6/12/09,25.5,,
7/12/09,21.6,,
8/12/09,16.5,,
9/12/09,25.1,,
10/12/09,23.1,,
11/12/09,18.6,,
12/12/09,21.1,,
13/12/09,19.8,,
14/12/09,19.3,,
15/12/09,30.4,,
16/12/09,39,,
17/12/09,21.6,,
18/12/09,22.4,,
19/12/09,19.7,,
20/12/09,20.5,,
21/12/09,26.8,,
22/12/09,26.3,,
23/12/09,38.8,,
24/12/09,24.9,,
25/12/09,19.5,,
26/12/09,20.5,,
27/12/09,21.6,,
28/12/09,23.6,,
29/12/09,22.9,,
30/12/09,38.1,,
31/12/09,36.3,,
