date,minimum temperature (degC),site number,site name
,,86338,MELBOURNE (OLYMPIC PARK)
1/1/10,10.1,,
2/1/10,13.5,,
3/1/10,23.3,,
4/1/10,16.6,,
5/1/10,13,,
6/1/10,15.9,,
7/1/10,16.4,,
8/1/10,16.8,,
9/1/10,17.9,,
10/1/10,16.9,,
11/1/10,14.4,,
12/1/10,12.2,,
13/1/10,13.9,,
14/1/10,13.5,,
15/1/10,14.4,,
16/1/10,13.5,,
17/1/10,13,,
18/1/10,13.1,,
19/1/10,12.9,,
20/1/10,15.7,,
21/1/10,13.5,,
22/1/10,12.8,,
23/1/10,13.9,,
24/1/10,12,,
25/1/10,13.5,,
26/1/10,16.9,,
27/1/10,16.4,,
28/1/10,13.1,,
29/1/10,10.4,,
30/1/10,10.9,,
31/1/10,11.4,,
1/2/10,13.5,,
2/2/10,17.7,,
3/2/10,16.3,,
4/2/10,14.4,,
5/2/10,12.3,,
6/2/10,12.2,,
7/2/10,11.8,,
8/2/10,10.7,,
9/2/10,12,,
10/2/10,10.8,,
11/2/10,12.4,,
12/2/10,12.5,,
13/2/10,8.6,,
14/2/10,9.5,,
15/2/10,12.2,,
16/2/10,15.3,,
17/2/10,18.5,,
18/2/10,16.5,,
19/2/10,16.3,,
20/2/10,18.1,,
21/2/10,16.4,,
22/2/10,20,,
23/2/10,18,,
24/2/10,15.6,,
25/2/10,16.8,,
26/2/10,15.3,,
27/2/10,17.5,,
28/2/10,15.7,,
1/3/10,17.4,,
2/3/10,15.1,,
3/3/10,10.6,,
4/3/10,10.7,,
5/3/10,16.7,,
6/3/10,15.1,,
7/3/10,16.7,,
8/3/10,16.6,,
9/3/10,11,,
10/3/10,8.2,,
11/3/10,7.5,,
12/3/10,11,,
13/3/10,15,,
14/3/10,13.9,,
15/3/10,12.1,,
16/3/10,13,,
17/3/10,12.5,,
18/3/10,13.9,,
19/3/10,15.2,,
20/3/10,11.9,,
21/3/10,10.7,,
22/3/10,12.6,,
23/3/10,15.3,,
24/3/10,15.3,,
25/3/10,16.8,,
26/3/10,13,,
27/3/10,11.9,,
28/3/10,12.5,,
29/3/10,11,,
30/3/10,12.1,,
31/3/10,14.1,,
1/4/10,15.6,,
2/4/10,12.7,,
3/4/10,9.8,,
4/4/10,7.4,,
5/4/10,12.7,,
6/4/10,6.5,,
7/4/10,10.3,,
8/4/10,15.1,,
9/4/10,14,,
10/4/10,14,,
11/4/10,10.9,,
12/4/10,12.8,,
13/4/10,10.2,,
14/4/10,11.4,,
15/4/10,11.8,,
16/4/10,13.1,,
17/4/10,5.4,,
18/4/10,10.2,,
19/4/10,8.5,,
20/4/10,7.8,,
21/4/10,15.1,,
22/4/10,9.9,,
23/4/10,10.4,,
24/4/10,9.1,,
25/4/10,8.5,,
26/4/10,10.1,,
27/4/10,9.3,,
28/4/10,6.2,,
29/4/10,8.5,,
30/4/10,10.3,,
1/5/10,13.4,,
2/5/10,13.1,,
3/5/10,5.5,,
4/5/10,10.5,,
5/5/10,13,,
6/5/10,4.7,,
7/5/10,4.9,,
8/5/10,5.7,,
9/5/10,12.1,,
10/5/10,9.4,,
11/5/10,10.6,,
12/5/10,13.1,,
13/5/10,10.5,,
14/5/10,5.3,,
15/5/10,6.1,,
16/5/10,10.4,,
17/5/10,14.2,,
18/5/10,13.7,,
19/5/10,10.9,,
20/5/10,10.5,,
21/5/10,9.1,,
22/5/10,8.2,,
23/5/10,8.8,,
24/5/10,13.1,,
25/5/10,13.1,,
26/5/10,15.9,,
27/5/10,10.6,,
28/5/10,10.6,,
29/5/10,8.3,,
30/5/10,9,,
31/5/10,9.4,,
1/6/10,10.2,,
2/6/10,8,,
3/6/10,7.3,,
4/6/10,6.8,,
5/6/10,7.4,,
6/6/10,8.4,,
7/6/10,8.8,,
8/6/10,9.5,,
9/6/10,12.3,,
10/6/10,6.3,,
11/6/10,9.8,,
12/6/10,9.5,,
13/6/10,12.7,,
14/6/10,7.7,,
15/6/10,8.6,,
16/6/10,1.2,,
17/6/10,4.6,,
18/6/10,12.2,,
19/6/10,6.3,,
20/6/10,6.7,,
21/6/10,9.8,,
22/6/10,13.3,,
23/6/10,7.3,,
24/6/10,4.7,,
25/6/10,7.4,,
26/6/10,6.7,,
27/6/10,3.2,,
28/6/10,8.8,,
29/6/10,10.9,,
30/6/10,7.4,,
1/7/10,3.8,,
2/7/10,8.8,,
3/7/10,7.2,,
4/7/10,8.1,,
5/7/10,7.4,,
6/7/10,7.8,,
7/7/10,8.9,,
8/7/10,6.9,,
9/7/10,6.5,,
10/7/10,3.3,,
11/7/10,8.9,,
12/7/10,9.3,,
13/7/10,9.3,,
14/7/10,8.8,,
15/7/10,7.4,,
16/7/10,6.6,,
17/7/10,3.3,,
18/7/10,1.7,,
19/7/10,6.9,,
20/7/10,8.3,,
21/7/10,2.8,,
22/7/10,6.2,,
23/7/10,6.6,,
24/7/10,6.2,,
25/7/10,7.2,,
26/7/10,4.8,,
27/7/10,3.1,,
28/7/10,8,,
29/7/10,6.6,,
30/7/10,5.8,,
31/7/10,3.1,,
1/8/10,7,,
2/8/10,3.5,,
3/8/10,3.5,,
4/8/10,7.8,,
5/8/10,6.3,,
6/8/10,6.4,,
7/8/10,2.8,,
